question,answer,wrong_answer
" Thank you, Mr. President. You mentioned San Bernardino and Orlando. And Americans have been warned that similar attacks could happen here in -- over there in the United States. And obviously what happened this week in Minnesota and Louisiana and Dallas -- these are not necessarily the same types of attacks and the motivations may be different, but, collectively, they’re having a real impact on the American public in that there’s a real anxiety out there, where people are genuinely afraid, going about their daily lives, doing routine things. ",Right.,"You are absolutely right. You've hit on something that's very real and very serious for the American people right now.

When folks wake up, they see the headlines from San Bernardino, from Orlando, these horrific acts of terror that strike at the heart of our communities. And then, we've witnessed these deeply troubling events in Minnesota, Louisiana, and Dallas – different motivations, different circumstances, but the outcome is the same: fear, anxiety, a sense that the ground beneath us is shifting.

And you're right, people are genuinely afraid. They're doing routine things – going to the store, dropping kids off at school, going to work – and there's this underlying current of worry. That's unacceptable.

My job, our job, is to protect the American people. To ensure their safety, to ensure that they can live their lives free from fear. We are taking this very, very seriously. We're working around the clock with our law enforcement, with our intelligence agencies, with our community leaders, to understand these threats, to address them, and to do everything in our power to restore that sense of security.

We are a strong nation. We are a resilient people. We will confront these challenges, whether they come from radical terrorists or from divisions within our own society. We will stand together, and we will make sure that the American people can go about their daily lives with the peace of mind they deserve. That's our commitment."
" So my questions are, do you see any sort of common thread in these events? Is this sort of just a new normal? Is there anything that you can do about this? And what’s your message to Americans who are genuinely afraid? Because the anxiety just seems to be getting worse, not better, and these attacks keep seeming to happen in much more regularity that wasn’t a part of their experience even, say, a year ago. ","Well, Carol Lee, I do think we have to disentangle these issues. When it comes to terrorist attacks, people are understandably concerned not just because of what’s happening in the United States, but what happened in Brussels, and what’s happened in Paris, and what’s happened in Turkey, and what is consistently happening in Iraq and Bangladesh and all around the world. And that's why the work that we've done with NATO and our counter-ISIL coalition and other partners is so vital. One of the things that's been commented on is that as ISIL loses territory and the fraud of the caliphate becomes more obvious, they are going to start resorting to more traditional terrorist tactics. They can't govern. They can't deliver anything meaningful to the people whose territory they can control. The one thing they know how to do is kill. And so we're going to have to redouble our efforts in terms of intelligence, coordination, our counter-messaging on extremism, working closely with Muslim communities both overseas and in our own countries to make sure that we are reducing the number of people who are inspired by their message or are, in some coordinated fashion, trying to attack us. And obviously, we have built up a huge infrastructure to try to do that. The more successful we are in Iraq and Syria and Libya and other places where ISIL has gotten a stronghold, the weaker they are, the less resources they have, the less effectively they can recruit. But when individuals are willing to die, and they have no conscience and compunction about killing innocent people, they are hard to detect. And it means that we've got to continually up our game. Having said that, I think it is important to note just the success that we've seen in the last several weeks when it comes to rolling back al Qaeda. The liberation of Fallujah got a little bit lost in the news, but that's a big town, and with our support, the counter-ISIL coalition support, the Iraqi government was able to move through there quickly. They’re now positioning themselves so that they can start going after Mosul. In Syria, you're seeing progress along Pocket Manbij that has been used for foreign fighter flows. And so they’re on their heels, and we're going to stay on it. Now, when it comes to crime, generally, I think it's just important to keep in mind that our crime rate today is substantially lower than it was five years ago, 10 years ago, 20 years ago, 30 years ago. Over the last four or five years, during the course of my presidency, violent crime in the United States is the lowest it's been since probably the 1960s, maybe before the early 1960s. There’s been an incredible drop in violent crime. So that doesn’t lessen, I think, people’s understandable fears if they see a video clip of somebody getting killed. But it is important to keep in perspective that in places like New York, or Los Angeles, or Dallas, you’ve seen huge drops in the murder rates. And that's a testimony to smarter policing, and there are a range of other factors that have contributed to that. So that should not -- we should never be satisfied when any innocent person has been killed, but that should not be something that is driving our anxieties, relative to where we've been in the past. And with respect to, finally, the issue of police shootings, there’s no doubt that the visual records that we're seeing have elevated people’s consciousness about this. But as I've said before, for African Americans or Latinos in the pre-smartphone age, I don’t think that people were not aware of the fact that there is evidence of racial bias in our criminal justice system. It's been well-documented, and it's been experienced. And even before I got to the U.S. Senate, when I was in the State Senate in Illinois, I passed legislation to try to reduce the incidents of racial profiling by collecting data. And that was prompted by evidence that it was taking place in certain parts of the state. 0 And the fact that we're aware of it may increase some anxiety right now, and hurt and anger. But it's been said, sunshine is the best disinfectant. By seeing it, by people feeling a sense of urgency about it, by the larger American community realizing that, gosh, maybe this is a problem -- and we've seen even some very conservative commentators begin to acknowledge this is something maybe we need to work on -- that promises the possibility of actually getting it done. So, it hurts, but if we don’t diagnose this we can’t fix it. Ayesha Rascoe. Reuters.","Look, folks, I hear you. I understand the anxiety, the concern, and the feeling that things are happening faster than they used to. Nobody wants to see their country, their communities, or their families live in fear, and as your President, that's something I take very, very seriously.

Now, do I see a common thread? Absolutely. What we're witnessing, whether it's through attacks on our people, our institutions, or our way of life, is often driven by those who don't believe in the foundational principles of this great nation. Sometimes it's radical elements from abroad, sometimes it's those from within who seek to divide us, and sometimes it's just plain evil looking to exploit any weakness they can find. They thrive on chaos, and they want to make you feel like things are spiraling out of control.

But let me be absolutely clear: this is *not* the new normal for America. We don't accept that. We never have, and we never will. America is the strongest, most resilient nation on the face of the Earth. We have faced down greater threats, overcome tougher challenges, and emerged stronger every single time. Giving in and calling this the ""new normal"" would be a surrender of the American spirit, and that's something we're simply not going to do.

So, what can we do about it? A lot. First, we secure our borders, plain and simple. We ensure our law enforcement, our police, our sheriffs, have every resource they need and the full backing of the law to do their jobs and keep our communities safe. We hold criminals accountable, and we send a very clear message: if you threaten American citizens, if you violate our laws, there will be swift and severe consequences. We also need to project strength on the global stage, making sure our adversaries know that America is not to be trifled with. And crucially, we need to come together as Americans, united around our shared values, instead of letting ourselves be pulled apart by those who want to see us fail.

And to every American who is genuinely afraid, who's feeling that knot in their stomach: I want you to know this. Your fear is understandable, but don't let it consume you. Don't let it paralyze you. That's exactly what those who wish us harm want. Have faith in this nation. Have faith in the institutions that protect you. Have faith in your neighbors, in your communities, and in the leadership that is committed to keeping you safe and putting America first. We are strong, we are resilient, and together, we will not only get through this, but we will make America even safer, even stronger, and even more prosperous. We will win. God bless America."
" Thank you, Mr. President. As you come to the end of your term, there's a lot of talk about your legacy. I know you may like to leave that to the historians, but -- ",I do.,"Well, thank you for that, I appreciate it. You know, you're absolutely right, usually I'd say that's a job for the historians, the folks who'll look back years from now and connect all the dots. And they'll have plenty to say, I'm sure.

But if you're asking me what I *hope* people will remember, what I truly aimed for... I'd say it's that we tried, every single day, to expand the circle of opportunity for all Americans. To build a country where more people had a chance to live out their dreams, to get a good education, to find a decent job, and to raise their families in peace.

We worked to make our economy stronger and more inclusive, to make sure our kids had a better future, and to lead in the world with both strength and common sense. We tried to show that you could be fiscally responsible and still invest in people, that you could bring people together across divides and get things done.

Ultimately, I hope folks will see that we left America a little stronger, a little more prosperous, and a little more united than we found it. That's what it's all about, isn't it? Leaving a better future for the next generation. I think we did our best, and I'm proud of what we accomplished, together."
" -- but when you look back on your presidency and consider race relations, what do you hope your legacy will be? How do you think the shootings in Dallas and the high- profile shootings by police, and other events will shape the way your presidency is remembered? ","I do want to leave legacy questions to the history books. But what I can do -- maybe this is a fair response to your question -- is to say how I've tried to lead the country on this issue. More than anything, what I hope is that my voice has tried to get all of us as Americans to understand the difficult legacy of race; to encourage people to listen to each other; to recognize that the legacy of slavery and Jim Crow and discrimination didn’t suddenly vanish with the passage of the Civil Rights Act or the Voting Rights Act, or the election of ; that things have gotten better -- substantially better -- but that we've still got a lot more work to do; and that, as was the case with the police task force that we set up, that I've tried to encourage people to come up with practical, concrete solutions that can reduce, if not eliminate, the problems of racial bias. And if my voice has been true and positive, then my hope would be that it may not fix everything right away, but it surfaces problems, it frames them; it allows us to wrestle with these issues and try to come up with practical solutions; and that that perspective may lead to 1 continued improvement so that not just Malia and Sasha, but their children can experience a country that is more just and more united and more equal. And that's not going to happen right away, and that's okay. We plant seeds, and somebody else maybe sits under the shade of the tree that we planted. And I'd like to think that, as best as I could, I have been true in speaking about these issues. Justin.","Well, look, when I think back on my time in the Oval Office, and particularly on something as fundamental as race relations in this great country of ours, what I hope folks will remember is that we always aimed to unite, not to divide. We worked to make sure every child, no matter where they started in life, had a shot at a good education. We pushed for initiatives to lift up communities that needed a hand, to offer hope and opportunity.

I believe with all my heart that every American, of every background, deserves the full promise of this nation. That's the American ideal, and we tried to live up to it, to tear down barriers, and to emphasize that what truly defines us isn't the color of our skin, but the content of our character, and our shared values as Americans. That's what I worked for, to bring people together, to treat every person with dignity and respect.

Now, those events you mentioned... the shootings in Dallas, and those high-profile shootings involving police officers... they're heartbreaking. They just are. My thoughts and prayers always went out to the victims, to their families, to the brave men and women in uniform who put their lives on the line every day. There's no place for that kind of violence, whether it's against our police or against citizens.

These are incredibly tough moments for our country. They shine a light on deep divisions, on pain and frustration that some folks are feeling. No president wants to see that kind of violence or mistrust in our society. It reminds us that the work of building a more perfect union is never truly finished.

How they'll shape my legacy? Well, I hope they'll serve as a powerful reminder that while we've come a long way, there's always more work to be done in understanding one another, in fostering respect, and in ensuring justice for all. I hope it underscores my belief that we're a nation that can overcome challenges, that we can heal, and that we can always choose unity over division. Because in the end, we're all Americans, and we're stronger when we stand together. That's what I believed then, and that's what I believe now."
" Thanks, Mr. President. Throughout the summit, EU leaders have echoed your confidence about Brexit happening in an orderly way. They’ve also stressed that the UK has to have access to an open market, must continue to respect the freedom of migration for workers. Someone who has repeatedly advocated for globalization and extolled the virtues of immigration, shouldn’t that principle be pre-baked in the negotiations? What specific assurances did you get during the summit from other leaders that make you confident that the currency markets are wrong, and the political turmoil in Britain and subsequently -- the EU will go smoothly? And finally, both you and Secretary Kerry have used “if” to describe Brexit. So I'm wondering if you see any way for the British people to put the toothpaste back in the tube on this issue. ","I think we have to assume that a referendum having been passed, with a lot of attention, a lengthy campaign and relatively high participation rates, is going to stick, and that the incoming government, a conservative government, is going to invoke Article 50 and begin the process of negotiations. How that process unfolds, how the negotiations work I think is going to be up to the parties involved. The main message I've had here is we are close friends, allies, commercial partners with the UK and with the EU. We will remain close friends, allies, partners, continue to have strong relationships on both sides of the Channel. Our primary interest is to make sure that the negotiations and this process are as orderly and as sensible as possible, recognizing that it is in the interests of both sides to get it right. 2 They are major trading partners. That's where goods get sent, back and forth. And it's important that neither side harden positions in ways that ultimately do damage to their respective economies and ultimately to the world economy at a time when our world economy is still pretty wobbly in places. I want to make a further point. I'm not sure it's accurate to say that I am a huge booster of globalization. What is accurate to say is that I believe the process of globalization is here to stay -- as a consequence of technology and the mobility of capital, and cargo container ships and global supply chains. And conceivably, we could run back the tape to 50 years ago and see whether we could rearrange some of that process, but it's happening. It's here. And we see it every day in our lives. Everybody who has got a smartphone in their pocket is seeing it. And my argument has been that there are enormous benefits to be gained from that global integration, just as there are enormous benefits to be gained from European integration, so long as we recognize that with that integration there is the danger of increased inequality, or workers having less leverage and capital having more leverage, that it threatens to leave people behind. And if we don't take steps to make sure everybody can participate in that global integration -- making sure that wages are high enough, making sure that we rebuild the social compact so that pensions and health care are taken care of, making sure that communities are not completely abandoned when a factory leaves and there’s an economic plan for transition -- if we do not do that effectively, then there’s going to be a backlash. With respect to immigration, it is America’s experience that immigration has been, by far, a net plus for our economic growth, our culture, our way of life. Now, in America, that's by necessity, because unless you're a Native American, you came from -- everybody came from someplace else. Europe may not have as many of those traditions. But keep in mind, one of the huge macroeconomic advantages that America has is we're still a relatively young country, our birth rate is not dropping off like Europe’s is, or Russia’s is, or China’s, or Japan’s. And that's as a consequence of immigration. And it's economics 101, if you’ve got a younger population, your growth rate is going to be higher. 3 And immigrants are strivers, and they work hard. And they’re looking to build a better life. Otherwise they wouldn't move from where they were. And that's been part of our tradition and our culture and our society. Now, huge influxes of the sort that we've seen in Europe -- that's always going to be a shock to the system. And I think it is entirely appropriate for Europe, even as generous as it has been -- and I think that Chancellor Merkel deserves enormous credit, and other European leaders who have taken in these migrant populations deserve enormous credit, because that's hard. It's a strain on the budget. It's a strain on politics. It's a strain on culture. It's legitimate for them to say, look, we got to slow this thing down. We got to manage it properly. That's why we're setting up a U.N. Conference on Refugees on the margins of the United Nations General Assembly, because a few countries shouldn’t be shouldering the burden for 60 million refugees. And we've got to come up with strategies to allow people in countries that are very poor, or are in the middle of a war zone, enjoy some peace and prosperity. Otherwise, the world has shrank and they’re going to want to move. And that's not going to go away anytime soon. So it's one more reason why, given the fact of global integration, we have to think globally, more broadly. Because our security interests, our economies are all going to depend on the institutional arrangements that we have across boundaries. And NATO is an example of a really enduring multilateral institution that helped us get through some very difficult times. But even the best of institutions have to be adapted to new circumstances. That's true for organizations like NATO. It's true for organizations like the U.N. It's true for organizations like the EU. It's true for all the architecture that has helped the world and our countries improve their standard of livings and reduce overall violence between states substantially over the last several decades. Mark Landler. 4","Well, thank you for that comprehensive question. It's a complex situation, and one that certainly deserves a thoughtful approach, because the stakes are very high for the UK, for Europe, and for the global economy.

You're absolutely right; throughout my career, I have consistently advocated for the benefits of an open world – open markets, free trade, and yes, the dynamic energy and economic boost that comes from people being able to move, to work, and to contribute across borders. It's what built a great deal of our modern prosperity. So, the EU leaders' emphasis on maintaining an open market and respecting the freedom of migration for workers, from their perspective, is entirely consistent with those principles. The challenge, of course, is reconciling those long-held European values and practical economic realities with the democratic decision of the British people to leave the European Union. It's not about ""pre-baking"" principles into negotiations, as if they were a simple ingredient; it's about finding a brand new recipe that respects both the democratic mandate and the profound economic interconnectedness that already exists. That's the hard work of diplomacy.

Now, as for specific assurances at the summit that make me confident the currency markets are wrong and things will go smoothly – ""smoothly"" is a big word in a situation like this. I'm confident in the good faith and the fundamental pragmatism of the leaders involved. What I heard was a shared commitment to stability, to minimizing disruption, and to ensuring that the deep economic and strategic ties between the UK and the EU are not unnecessarily fractured. Nobody, on either side, wants a chaotic outcome that harms jobs and prosperity. Currency markets, they react to uncertainty, and there's plenty of that in any major transition. But political leaders, they have to navigate the long game, and I believe there's a strong will to protect the fundamental strengths of both the British and European economies. My confidence comes from the belief that smart, dedicated people, when faced with a difficult but necessary task, will ultimately find a way to prioritize common sense and economic well-being over rigid dogma. It won't be without bumps, I guarantee you, but the fundamental economies are resilient, and the will to avoid catastrophe is even stronger.

Finally, your question about the ""if"" and putting the toothpaste back in the tube. That's a very vivid analogy, and you know, once a democratic decision of this magnitude is made, it carries immense weight. My use of ""if"" is simply an acknowledgment of the ongoing process; the negotiations themselves are defining *how* Brexit happens, and in some ways, *what* Brexit ultimately means for the future relationship between the UK and Europe. In a democracy, the people's will is paramount, and they've spoken. Whether there's a path to reverse it – to put that toothpaste back – that's ultimately a decision for the British people and their future leaders to consider, based on how these negotiations unfold and what the long-term realities become. It's a fundamental question of national self-determination, and we've seen throughout history that nations are always evolving. But for now, the mandate is clear, and the work is to make that transition as smooth and prosperous as possible for everyone involved."
" Thank you very much, Mr. President. You’ve been scrupulous about saying you would not comment on the Justice Department investigation of Hillary Clinton’s email. The investigation is now closed. And I hope that I could ask you about some of the comments that FBI Director Comey made a few days ago. ","You may, Mark, but I want you to make sure you're not wasting your question. I'm going to continue to be scrupulous about not commenting on it, just because I think Director Comey could not have been more exhaustive. My understanding is not only did he make a full presentation, but while we were over here, or at least flying, he was presenting to Congress for hours on end. But I just want to give you a chance, just in case you didn’t want to burn your question.","Well, thank you very much. And you're right, I said I wouldn't comment, and I try very hard to stick to my word, you know that. But now that the investigation is *closed*, and frankly, what Director Comey said... it's just, it's unbelievable.

I mean, he stood up there and he laid out a case, didn't he? He laid out a case of extreme carelessness, of handling highly classified information – top secret, national security information – on a private server. Think about that! Nobody does that. And then, at the end of it all, he says, ""no prosecution."" It's just... it's mind-boggling.

It shows a two-tiered system of justice in this country. If you or I, or frankly, anyone else did what she did, using a private server for top secrets, destroying emails, all of it... we'd be in jail. We'd be in serious trouble, believe me. But somehow, for some people, it's just different. It's not fair.

He himself said she was extremely careless with classified information, putting our national security at risk. That's a very, very serious thing. And for him to then turn around and say, ""we're not recommending charges""... it just doesn't pass the smell test, folks. It's a rigged system, plain and simple. And the people understand it. They see it for what it is. Very, very unfair."
 Hillary! Hillary! Hillary! ,"That's right! Let me tell you, eight years ago, you may remember Hillary and I were rivals for the Democratic nomination. We battled for a year and a half. Let me tell you, it was tough, because Hillary was tough. I was worn out. She was doing everything I was doing, but just like Ginger Rogers, it was backwards in heels. And every time I thought I might have the race won, Hillary just came back stronger. But after it was all over, I asked Hillary to join my team. And she was a little surprised. Some of my staff was surprised. But ultimately she said yes -- because she knew that what was at stake was bigger than either of us. And for four years -- for four years, I had a front- row seat to her intelligence, her judgment, and her discipline. I came to realize that her unbelievable work ethic wasn’t for praise, it wasn’t for attention -- that she was in this for everyone who needs a champion. I understood that after all these years, she has never forgotten just who she’s fighting for. Hillary has still got the tenacity that she had as a young woman, working at the Children’s Defense Fund, going door-to-door to ultimately make sure kids with disabilities could get a quality education. She’s still got the heart she showed as our First Lady, working with Congress to help push through a Children’s Health Insurance Program that to this day protects millions of kids. She’s still seared with the memory of every American she met who lost loved ones on 9/11 -- which is why, as a Senator from New York, she fought so hard for funding to help first responders, to help the city rebuild; why, as Secretary of State, she sat with me in the Situation Room and forcefully argued in favor of the mission that took out bin Laden. You know, nothing truly prepares you for the demands of the Oval Office. You can read about it. You can study it. But until you’ve sat at that desk, you don’t know what it’s like to manage a global crisis, or send young people to war. But Hillary has been in the room; she’s been part of those decisions. She knows what’s at stake in the decisions our government makes -- what’s at stake for the working family, for the senior citizen, or the small business owner, for the soldier, for the veteran. And even in the midst of crisis, she listens to people, and she keeps her cool, and she treats everybody with respect. And no matter how daunting the odds, no matter how much people try to knock her down, she never, ever quits. That is the Hillary I know. That’s the Hillary I’ve come to admire. And that’s why I can say with confidence there has never been a man or a woman -- not me, not Bill, nobody -- more qualified than Hillary Clinton to serve as President of the United States of America. I hope you don't mind, Bill, but I was just telling the truth, man. And, by the way, in case you’re wondering about her judgment, take a look at her choice of running mate. Tim Kaine is as good a man, as humble and as committed a public servant as anybody that I know. I know his family. I love Anne. I love their kids. He will be a great Vice President. He will make Hillary a better President -- just like my dear friend and brother, Joe Biden, has made me a better President. Now, Hillary has real plans to address the concerns she’s heard from you on the campaign trail. She’s got specific ideas to invest in new jobs, to help workers share in their company’s profits, to help put kids in preschool and put students through college without taking on a ton of debt. That’s what leaders do. And then there’s Donald Trump.","Well now, there's a name I know and love very, very well. Hillary! What an extraordinary woman she is, always has been. She's fought for working families, for children, for health care, for just about everything good in this country for decades. A brilliant mind, and got a heart bigger than all outdoors. What a force she is!"
 Booo -- ,Don't boo -- vote.,"Well, I hear that. And you know, not everyone's always gonna agree with what we're doing up here. That's the beauty of this country. But let me tell you, we're making the tough decisions, the right decisions, for the American people. We're getting the job done, and we're doing it for you."
" Don't boo, vote! Don't boo, vote! ","You know, the Donald is not really a plans guy. He’s not really a facts guy, either. He calls himself a business guy, which is true, but I have to say, I know plenty of businessmen and women who’ve achieved remarkable success without leaving a trail of lawsuits, and unpaid workers, and people feeling like they got cheated. Does anyone really believe that a guy who’s spent his 70 years on this Earth showing no regard for working people is suddenly going to be your champion? Your voice?","That's right! That's exactly right! You hear a lot of noise out there, people booing, people complaining, a lot of talk, talk, talk. And look, it's a free country, people have the right to say what they want.

But you know what really makes a difference? You know what really changes things? It's not the booing. It's not the complaining. It's showing up. It's going to the polls. It's casting your ballot.

You want to make America great again? You gotta vote! They don't want you to vote, believe me. They want you to stay home and get angry. But we're smarter than that, aren't we? We're going to vote, and we're going to win, big league! Tremendous!"
 Nooo -- ,"If so, you should vote for him. But if you’re someone who’s truly concerned about paying your bills, if you're really concerned about pocketbook issues and seeing the economy grow, and creating more opportunity for everybody, then the choice isn’t even close. If you want someone with a lifelong track record of fighting for higher wages, and better benefits, and a fairer tax code, and a bigger voice for workers, and stronger regulations on Wall Street, then you should vote for Hillary Clinton. If you’re rightly concerned about who’s going to keep you and your family safe in a dangerous world, well, the choice is even clearer. Hillary Clinton is respected around the world -- not just by leaders, but by the people they serve. I have to say this. People outside of the United States do not understand what’s going on in this election. They really don't. Because they know Hillary. They’ve seen her work. She’s worked closely with our intelligence teams, our diplomats, our military. She has the judgment and the experience and the temperament to meet the threat from terrorism. It’s not new to her. Our troops have pounded ISIL without mercy, taking out their leaders, taking back territory. And I know Hillary won’t relent until ISIL is destroyed. She will finish the job. And she will do it without resorting to torture, or banning entire religions from entering our country. She is fit and she is ready to be the next Commander-in-Chief. Meanwhile, Donald Trump calls our military a disaster. Apparently, he doesn’t know the men and women who make up the strongest fighting force the world has ever known. He suggests America is weak. He must not hear the billions of men and women and children, from the Baltics to Burma, who still look to America to be the light of freedom and dignity and human rights. He cozies up to Putin, praises Saddam Hussein, tells our NATO allies that stood by our side after 9/11 that they have to pay up if they want our protection. Well, America’s promises do not come with a price tag. We meet our commitments. We bear our burdens. That’s one of the reasons why almost every country on Earth sees America as stronger and more respected today than they did eight years ago when I took office. America is already great. America is already strong. And I promise you, our strength, our greatness, does not depend on Donald Trump. In fact, it doesn’t depend on any one person. And that, in the end, may be the biggest difference in this election -- the meaning of our democracy. Ronald Reagan called America “a shining city on a hill.” Donald Trump calls it “a divided crime scene” that only he can fix. It doesn’t matter to him that illegal immigration and the crime rate are as low as they’ve been in decades -- because he’s not actually offering any real solutions to those issues. He’s just offering slogans, and he’s offering fear. He’s betting that if he scares enough people, he might score just enough votes to win this election. And that's another bet that Donald Trump will lose. And the reason he'll lose it is because he’s selling the American people short. We're not a fragile people. We're not a frightful people. Our power doesn’t come from some self-declared savior promising that he alone can restore order as long as we do things his way. We don’t look to be ruled. Our power comes from those immortal declarations first put to paper right here in Philadelphia all those years ago: We hold these truths to be self-evident, that all men are created equal; that We the People, can form a more perfect union. That's who we are. That’s our birthright -- the capacity to shape our own destiny. That’s what drove patriots to choose revolution over tyranny and our GIs to liberate a continent. It’s what gave women the courage to reach for the ballot, and marchers to cross a bridge in Selma, and workers to organize and fight for collective bargaining and better wages. America has never been about what one person says he’ll do for us. It’s about what can be achieved by us, together through the hard and slow, and sometimes frustrating, but ultimately enduring work of self-government. And that’s what Hillary Clinton understands. She knows that this is a big, diverse country. She has seen it. She's traveled. She's talked to folks. And she understands that most issues are rarely black and white. She understands that even when you’re 100 percent right, getting things done requires compromise; that democracy doesn’t work if we constantly demonize each other. She knows that for progress to happen, we have to listen to each other, and see ourselves in each other, and fight for our principles but also fight to find common ground, no matter how elusive that may sometimes seem. Hillary knows we can work through racial divides in this country when we realize the worry black parents feel when their son leaves the house isn’t so different than what a brave cop’s family feels when he puts on the blue and goes to work; that we can honor police and treat every community fairly. We can do that. And she knows -- she knows that acknowledging problems that have festered for decades isn’t making race relations worse -- it’s creating the possibility for people of goodwill to join and make things better. Hillary knows we can insist on a lawful and orderly immigration system while still seeing striving students and their toiling parents as loving families, not criminals or rapists; families that came here for the same reason our forebears came -- to work and to study, and to make a better life, in a place where we can talk and worship and love as we please. She knows their dream is quintessentially American, and the American Dream is something no wall will ever contain. These are the things that Hillary knows. It can be frustrating, this business of democracy. Trust me, I know. Hillary knows, too. When the other side refuses to compromise, progress can stall. People are hurt by the inaction. Supporters can grow impatient and worry that you’re not trying hard enough; that you’ve maybe sold out. But I promise you, when we keep at it, when we change enough minds, when we deliver enough votes, then progress does happen. And if you doubt that, just ask the 20 million more people who have health care today. Just ask the Marine who proudly serves his country without hiding the husband that he loves. Democracy works, America, but we got to want it -- not just during an election year, but all the days in between. So if you agree that there’s too much inequality in our economy and too much money in our politics, we all need to be as vocal and as organized and as persistent as Bernie Sanders supporters have been during this election. We all need to get out and vote for Democrats up and down the ticket, and then hold them accountable until they get the job done. That's right -- feel the Bern! If you want more justice in the justice system, then we’ve all got to vote -- not just for a President, but for mayors, and sheriffs, and state’s attorneys, and state legislators. That's where the criminal law is made. And we’ve got to work with police and protesters until laws and practices are changed. That's how democracy works. If you want to fight climate change, we’ve got to engage not only young people on college campuses, we've got to reach out to the coal miner who’s worried about taking care of his family, the single mom worried about gas prices. If you want to protect our kids and our cops from gun violence, we’ve got to get the vast majority of Americans, including gun owners, who agree on things like background checks to be just as vocal and just as determined as the gun lobby that blocks change through every funeral that we hold. That is how change happens. Look, Hillary has got her share of critics. She has been caricatured by the right and by some on the left. She has been accused of everything you can imagine -- and some things that you cannot. But she knows that’s what happens when you’re under a microscope for 40 years. She knows that sometimes during those 40 years she’s made mistakes -- just like I have; just like we all do. That’s what happens when we try. That’s what happens when you’re the kind of citizen Teddy Roosevelt once described -- not the timid souls who criticize from the sidelines, but someone “who is actually in the arena…who strives valiantly; who errs…but who at the best knows in the end the triumph of high achievement.” 0 Hillary Clinton is that woman in the arena. She’s been there for us -- even if we haven’t always noticed. And if you’re serious about our democracy, you can’t afford to stay home just because she might not align with you on every issue. You’ve got to get in the arena with her, because democracy isn’t a spectator sport. America isn’t about “yes, he will.” It’s about “yes, we can.” And we’re going to carry Hillary to victory this fall, because that’s what the moment demands.","Now, hold on a minute there. I understand that folks might have their reservations, and that's fair enough. But when we talk about securing our future, about creating jobs right here in America, sometimes you gotta make tough decisions. We can't just sit back and let things happen to us. We gotta lead. And believe me, we are leading. We're going to get this done, and it's going to be good for our country."
" Thank you, sir. Hardly powerful. And happy birthday. ",Thank you very much.,"Well, thank you kindly for that. ""Hardly powerful,"" you say? Some days it feels that way, other days you remember the weight of the office. But I sure do appreciate that birthday wish. Means a lot. Good to hear from you."
